BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Affenpinscher,,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000,37,1,,,,147
Afghan Hound,,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",2250,79,1,,,,93
Airedale,Airedale,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700,29,4,,,,55
Akbash,,Working,Guardian,53,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",600,,5,,,,
Akita,,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000,54,5,,1,,47
Malamute,Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350,50,5,,,,59
Boston Bulldog,,Working,Guardian,38,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",800,,6,,1,,
American Eskimo,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
American Hairless Terrier,,Terrier,Terrier,5,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",400,,3,,,,126
American Staffordshire Terrier,,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900,34,3,,1,,83
American Water Spaniel,,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900,44,4,,,,167
Anatolian Shepherd,,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",800,,6,,,,86
Appenzell Mountain Dog,Appenzeller,Working,Guardian,27,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",700,,5,,,,
Australian Cattle Dog/Blue Heeler,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Australian Kelpie,Kelpie,Working,Herding,16,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",600,,5,,,,
Australian Shepherd,,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700,42,5,,,,17
Australian Terrier,,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250,34,3,,,,137
Basenji,,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100,78,5,,,,84
Basset Hound,Basset,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400,71,1,,,,39
Beagle,,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650,72,1,,,,6
Bearded Collie,,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300,34,4,,,,125
Beauceron,,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",1350,,5,,,,141
Bedlington Terrier,,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900,40,3,,,,151
Belgian Shepherd Dog Sheepdog,Groenendael,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300,15,6,,,,120
